agendor_id,titulo,clickup_id,produto_agendor,fabricante_agendor,distribuidor_esperado,produto_supabase,fabricante_supabase,distribuidor_supabase,valor_agendor,valor_supabase,servico_prioridade,tipo_divergencia
26337852,NOVA AMERICA | ARMAZENAMENTO DE IMAGENS | DELL E FORTINET,86ajxx4mj,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL ,Ingram Micro,73000.0,73000.0,False,FABRICANTE
26337852,NOVA AMERICA | ARMAZENAMENTO DE IMAGENS | DELL E FORTINET,86ajxx4mj,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL ,Ingram Micro,73000.0,32200.0,False,FABRICANTE+VALOR
26337852,NOVA AMERICA | ARMAZENAMENTO DE IMAGENS | DELL E FORTINET,86ajxx4mj,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL ,Ingram Micro,73000.0,97900.0,False,FABRICANTE+VALOR
26337852,NOVA AMERICA | ARMAZENAMENTO DE IMAGENS | DELL E FORTINET,86ajxx4mj,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL ,Ingram Micro,32200.0,73000.0,False,FABRICANTE+VALOR
26337852,NOVA AMERICA | ARMAZENAMENTO DE IMAGENS | DELL E FORTINET,86ajxx4mj,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL ,Ingram Micro,32200.0,32200.0,False,FABRICANTE
26337852,NOVA AMERICA | ARMAZENAMENTO DE IMAGENS | DELL E FORTINET,86ajxx4mj,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL ,Ingram Micro,32200.0,97900.0,False,FABRICANTE+VALOR
26337852,NOVA AMERICA | ARMAZENAMENTO DE IMAGENS | DELL E FORTINET,86ajxx4mj,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL ,Ingram Micro,97900.0,73000.0,False,FABRICANTE+VALOR
26337852,NOVA AMERICA | ARMAZENAMENTO DE IMAGENS | DELL E FORTINET,86ajxx4mj,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL ,Ingram Micro,97900.0,32200.0,False,FABRICANTE+VALOR
26337852,NOVA AMERICA | ARMAZENAMENTO DE IMAGENS | DELL E FORTINET,86ajxx4mj,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL ,Ingram Micro,97900.0,97900.0,False,FABRICANTE
34348032,TRIMESTRAL - SUPRIMATICA CLOUD - JUL/AGO/SET,86ajxx4n9,CLOUD AZURE,MICROSOFT,Ingram Micro,CLOUD AZURE,AZURE,Ingram Micro,6934.94,6934.94,False,FABRICANTE
23338526,UNIMED LIMEIRA | ATUALIZAÇÃO DO FIREWALL | FORTINET,86ajxx4pg,SUPRIMATICA SERVIÇOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SUPRIMATICA SERVIÇOS,SUPRIMATICA,Suprimatica,14000.0,14000.0,True,FABRICANTE
20870019,KGM PRODUZA | SERVIDOR VIRTUALIZAÇÃO | DELL,86ajxx4q3,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL ,Ingram Micro,227142.36,227142.36,False,FABRICANTE
20870019,KGM PRODUZA | SERVIDOR VIRTUALIZAÇÃO | DELL,86ajxx4q3,SUPRIMATICA SERVIÇOS,SUPRIMÁTICA SERVIÇOS,Suprimatica,SUPRIMATICA SERVIÇOS,SUPRIMATICA,Suprimatica,45000.0,45000.0,True,FABRICANTE
32472695,Unimed Ribeirão Preto | ESTUDO PARA TECHREFRESH DO DATACENTER,86ajxx4qx,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL ,Ingram Micro,364913.07,364913.07,False,FABRICANTE
32472695,Unimed Ribeirão Preto | ESTUDO PARA TECHREFRESH DO DATACENTER,86ajxx4qx,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL ,Ingram Micro,364913.07,50226.26,False,FABRICANTE+VALOR
32472695,Unimed Ribeirão Preto | ESTUDO PARA TECHREFRESH DO DATACENTER,86ajxx4qx,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL ,Ingram Micro,364913.07,59789.31,False,FABRICANTE+VALOR
32472695,Unimed Ribeirão Preto | ESTUDO PARA TECHREFRESH DO DATACENTER,86ajxx4qx,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL ,Ingram Micro,50226.26,364913.07,False,FABRICANTE+VALOR
32472695,Unimed Ribeirão Preto | ESTUDO PARA TECHREFRESH DO DATACENTER,86ajxx4qx,SERVIDOR DELL EMC,DELL EMC,Ingram Micro,SERVIDOR DELL EMC,DELL ,Ingram Micro,50226.26,50226.26,False,FABRICANTE
